2024-08-14 18:49:16,399 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 960, H: 540
2024-08-14 18:49:16,399 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2024-08-14 18:49:16,469 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "Alacritty" for "Alacritty"
2024-08-14 18:49:16,478 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "nwg-look" for "nwg-look"
2024-08-14 18:49:16,487 | WARNING | ulauncher.utils.image_loader: load_image() | Could not load image /opt/chromium.org/thorium/thorium_shell.png. E: g-file-error-quark: Failed to open file “/opt/chromium.org/thorium/thorium_shell.png”: No such file or directory (4)
2024-08-14 18:49:16,488 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "spotify-client" for "spotify-client"
2024-08-14 18:49:16,492 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "auto-cpufreq" for "auto-cpufreq"
2024-08-14 18:49:16,498 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "electron30" for "electron30"
2024-08-14 18:49:16,508 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon theme is broken or incomplete. Substituting "obsidian" for "obsidian"
2024-08-14 18:49:16,512 | WARNING | ulauncher.utils.image_loader: check_icon_name() | Icon "freedownloadmanager" completely missing from icon theme. Consider switching icon theme.
2024-08-14 18:49:16,512 | INFO | ulauncher.utils.image_loader: check_icon_name() | Falling back on default icon "application-x-executable"
2024-08-14 18:49:16,586 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2024-08-14 18:49:16,587 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2024-08-14 18:49:16,589 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2024-08-14 18:49:17,578 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Thorium Browser (/usr/share/applications/thorium-browser.desktop) Exec ['/usr/bin/thorium-browser']
2024-08-14 18:49:17,586 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2024-08-14 18:49:47,489 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2024-08-14 18:49:47,489 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 960, H: 540
2024-08-14 18:49:47,490 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2024-08-14 18:49:48,369 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2024-08-14 18:49:48,525 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2024-08-14 18:49:49,408 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2024-08-14 18:49:49,607 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event KeywordQueryEvent to "com.github.hillaryychan.ulauncher-fzf"
2024-08-14 18:49:49,756 | DEBUG | ulauncher.api.server.ExtensionController: handleMessage() | Incoming response (KeywordQueryEvent, RenderResultListAction) from "com.github.hillaryychan.ulauncher-fzf"
2024-08-14 18:49:49,767 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 15 results
2024-08-14 18:49:50,158 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2024-08-14 18:49:50,630 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2024-08-14 18:49:50,828 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event KeywordQueryEvent to "com.github.hillaryychan.ulauncher-fzf"
2024-08-14 18:49:50,892 | DEBUG | ulauncher.api.server.ExtensionController: handleMessage() | Incoming response (KeywordQueryEvent, RenderResultListAction) from "com.github.hillaryychan.ulauncher-fzf"
2024-08-14 18:49:50,901 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 15 results
2024-08-14 18:49:51,675 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2024-08-14 18:49:51,873 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event KeywordQueryEvent to "com.github.hillaryychan.ulauncher-fzf"
2024-08-14 18:49:51,928 | DEBUG | ulauncher.api.server.ExtensionController: handleMessage() | Incoming response (KeywordQueryEvent, RenderResultListAction) from "com.github.hillaryychan.ulauncher-fzf"
2024-08-14 18:49:51,937 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 15 results
2024-08-14 19:03:48,920 | INFO | ulauncher.search.apps.app_watcher: _add_file_sync() | New app was added "NVIDIA X Server Settings" (/usr/share/applications/nvidia-settings.desktop)
